Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs,,,,,,,
2_420_-4,2,420,-4,2.25,-0.003038677,0.013564111,0.141605315,-0.000587944,-0.009651021,0.0008743,,,,,,,,,,,,,
2_420_-4,2,420,-4,2,-0.001871654,0.010424157,0.113115359,-0.000417546,-0.007865222,0.000629572,,,,,,,,,,,,,
2_435_-4,2,435,-4,3.5,-0.011625318,0.033696221,0.302346666,-0.001987248,-0.019095397,0.001997547,,,,,,,,,,,,,
2_435_-4,2,435,-4,3.25,-0.009484455,0.030545266,0.271656548,-0.001658071,-0.017397054,0.001798133,,,,,,,,,,,,,
2_435_-4,2,435,-4,3,-0.00754365,0.02668337,0.240415232,-0.001350651,-0.015599581,0.001579047,,,,,,,,,,,,,
2_435_-4,2,435,-4,2.75,-0.005822408,0.022634007,0.209056845,-0.001068697,-0.013738854,0.00134544,,,,,,,,,,,,,
2_435_-4,2,435,-4,2.5,-0.004307967,0.01889145,0.179857095,-0.000838568,-0.011979394,0.00112211,,,,,,,,,,,,,
2_435_-4,2,435,-4,2.25,-0.002806581,0.013496878,0.141569959,-0.000565035,-0.009733535,0.000851867,,,,,,,,,,,,,
2_435_-4,2,435,-4,2,-0.001669614,0.010328783,0.113770507,-0.000409725,-0.007933295,0.000611978,,,,,,,,,,,,,
2_450_-4,2,450,-4,3.5,-0.011315956,0.034641409,0.308344482,-0.001956144,-0.019604852,0.002044691,,,,,,,,,,,,,
2_450_-4,2,450,-4,3.25,-0.009209608,0.031010407,0.276421946,-0.001632119,-0.0178062,0.001828365,,,,,,,,,,,,,
2_450_-4,2,450,-4,3,-0.007285936,0.026842641,0.243688481,-0.001319243,-0.015894768,0.00159107,,,,,,,,,,,,,
2_450_-4,2,450,-4,2.75,-0.005589757,0.022748762,0.212136228,-0.001044907,-0.014003412,0.001355169,,,,,,,,,,,,,
2_450_-4,2,450,-4,2.5,-0.003973686,0.017548391,0.179050348,-0.00079073,-0.011982104,0.00111486,,,,,,,,,,,,,
2_450_-4,2,450,-4,2.25,-0.00259501,0.013402295,0.142073341,-0.000549119,-0.009822189,0.00083081,,,,,,,,,,,,,
2_450_-4,2,450,-4,2,-0.001465333,0.010228771,0.114385062,-0.000403563,-0.007992365,0.000594087,,,,,,,,,,,,,
2_465_-4,2,465,-4,3.5,-0.011024582,0.035363211,0.313902844,-0.001930444,-0.020078307,0.00208309,,,,,,,,,,,,,
2_465_-4,2,465,-4,3.25,-0.008923597,0.031299333,0.280649944,-0.001600982,-0.018173089,0.001851671,,,,,,,,,,,,,
2_465_-4,2,465,-4,3,-0.007034859,0.026951292,0.246862329,-0.001290371,-0.016178374,0.001600791,,,,,,,,,,,,,
2_465_-4,2,465,-4,2.75,-0.005333525,0.02283883,0.215482544,-0.00102403,-0.014277453,0.001367246,,,,,,,,,,,,,
2_465_-4,2,465,-4,2.5,-0.003715917,0.016807062,0.17500198,-0.000732445,-0.011909927,0.001087024,,,,,,,,,,,,,
2_465_-4,2,465,-4,2.25,-0.002383069,0.013300861,0.142754967,-0.000536093,-0.00990838,0.000810506,,,,,,,,,,,,,
2_465_-4,2,465,-4,2,-0.001246834,0.01014208,0.114999291,-0.000399028,-0.008046412,0.000576888,,,,,,,,,,,,,
2_480_-4,2,480,-4,3.5,-0.010725993,0.035909119,0.319098633,-0.001903162,-0.020524254,0.002116951,,,,,,,,,,,,,
2_480_-4,2,480,-4,3.25,-0.008637168,0.031498531,0.284289477,-0.001566104,-0.018500652,0.001866626,,,,,,,,,,,,,
2_480_-4,2,480,-4,3,-0.006786903,0.027038267,0.249965122,-0.001264104,-0.016454639,0.001608658,,,,,,,,,,,,,
2_480_-4,2,480,-4,2.75,-0.005159468,0.022823614,0.217874421,-0.001016227,-0.014504276,0.001360366,,,,,,,,,,,,,
2_480_-4,2,480,-4,2.5,-0.003443688,0.016739356,0.174745212,-0.000704345,-0.01199578,0.001061084,,,,,,,,,,,,,
2_480_-4,2,480,-4,2.25,-0.002146231,0.013196567,0.143462384,-0.000526378,-0.009986565,0.000790867,,,,,,,,,,,,,
2_480_-4,2,480,-4,2,-0.001032068,0.010047416,0.115654006,-0.000394715,-0.008101053,0.000558297,,,,,,,,,,,,,
2_495_-4,2,495,-4,3.5,-0.010416508,0.036274646,0.32386258,-0.001871375,-0.020934154,0.002145141,,,,,,,,,,,,,
2_495_-4,2,495,-4,3.25,-0.00835961,0.03164183,0.287748477,-0.001533245,-0.018811697,0.001878235,,,,,,,,,,,,,
2_495_-4,2,495,-4,3,-0.006514839,0.027199116,0.253536574,-0.001237485,-0.016753061,0.001622726,,,,,,,,,,,,,
2_495_-4,2,495,-4,2.75,-0.004745385,0.021392209,0.217025358,-0.000963508,-0.014519699,0.001353863,,,,,,,,,,,,,
2_495_-4,2,495,-4,2.5,-0.003194525,0.016637645,0.175148211,-0.000684902,-0.012089713,0.001037263,,,,,,,,,,,,,
2_495_-4,2,495,-4,2.25,-0.001904174,0.013087247,0.144160993,-0.000518255,-0.010056448,0.000770778,,,,,,,,,,,,,
2_495_-4,2,495,-4,2,-0.000815916,0.009935,0.116336137,-0.000390564,-0.008154864,0.000537789,,,,,,,,,,,,,
2_510_-4,2,510,-4,3.5,-0.010102379,0.036517446,0.327952748,-0.001834156,-0.021298479,0.00216409,,,,,,,,,,,,,
2_510_-4,2,510,-4,3.25,-0.008085191,0.031745968,0.291144574,-0.001502895,-0.01911384,0.001888015,,,,,,,,,,,,,
2_510_-4,2,510,-4,3,-0.006229761,0.027286445,0.256889653,-0.001214693,-0.017039508,0.001631852,,,,,,,,,,,,,
2_510_-4,2,510,-4,2.75,-0.004456888,0.020404112,0.211978029,-0.000892482,-0.014405669,0.001323931,,,,,,,,,,,,,
2_510_-4,2,510,-4,2.5,-0.002950797,0.016528799,0.175837075,-0.000669128,-0.012184814,0.001014451,,,,,,,,,,,,,
2_510_-4,2,510,-4,2.25,-0.001656415,0.012980937,0.144806402,-0.000511872,-0.010118116,0.000750552,,,,,,,,,,,,,
2_510_-4,2,510,-4,2,-0.000586552,0.009818203,0.117006623,-0.000386802,-0.008203403,0.000516943,,,,,,,,,,,,,
2_540_-4,2,540,-4,3.5,-0.009496461,0.036833035,0.335388065,-0.001762791,-0.021967009,0.002189512,,,,,,,,,,,,,
2_540_-4,2,540,-4,3.25,-0.007506646,0.032014575,0.298487873,-0.001445547,-0.01973788,0.001913601,,,,,,,,,,,,,
2_540_-4,2,540,-4,3,-0.005582495,0.025704673,0.258863215,-0.001156008,-0.017312315,0.001616794,,,,,,,,,,,,,
2_540_-4,2,540,-4,2.75,-0.003851395,0.020225296,0.211687173,-0.000835345,-0.014590758,0.001267046,,,,,,,,,,,,,
2_540_-4,2,540,-4,2.5,-0.002404681,0.016293958,0.177327814,-0.000647262,-0.012352597,0.000969852,,,,,,,,,,,,,
2_540_-4,2,540,-4,2.25,-0.001147852,0.012750316,0.146207825,-0.000501251,-0.010236242,0.00070877,,,,,,,,,,,,,
2_540_-4,2,540,-4,2,-0.000134606,0.009600425,0.118454863,-0.000377408,-0.008302666,0.000475435,,,,,,,,,,,,,
2_570_-4,2,570,-4,3.5,-0.00890451,0.037080547,0.342766465,-0.001701121,-0.022617912,0.00221016,,,,,,,,,,,,,
2_570_-4,2,570,-4,3.25,-0.007009699,0.031900249,0.304831358,-0.001421012,-0.02028936,0.001910491,,,,,,,,,,,,,
2_570_-4,2,570,-4,3,-0.004898271,0.024281971,0.251634733,-0.001028734,-0.017224392,0.001550739,,,,,,,,,,,,,
2_570_-4,2,570,-4,2.75,-0.003278795,0.019982683,0.213138752,-0.000801833,-0.014792291,0.001216669,,,,,,,,,,,,,
2_570_-4,2,570,-4,2.5,-0.001817524,0.016056458,0.178735984,-0.000632562,-0.012487352,0.000925771,,,,,,,,,,,,,
2_570_-4,2,570,-4,2.25,-0.000622643,0.012479508,0.147665127,-0.000490876,-0.010344496,0.000661527,,,,,,,,,,,,,
2_570_-4,2,570,-4,2,0.000248982,0.009251388,0.120168618,-0.000365369,-0.008418118,0.000420835,,,,,,,,,,,,,
2_600_-4,2,600,-4,3.5,-0.008274241,0.037376819,0.350146088,-0.001652929,-0.02327794,0.002225123,,,,,,,,,,,,,
2_600_-4,2,600,-4,3.25,-0.006123935,0.02866533,0.296610142,-0.001257635,-0.020104312,0.001870295,,,,,,,,,,,,,
2_600_-4,2,600,-4,3,-0.004249543,0.024041207,0.252320041,-0.000978736,-0.017435484,0.001492162,,,,,,,,,,,,,
2_600_-4,2,600,-4,2.75,-0.002632966,0.019719491,0.214694962,-0.000780377,-0.014961511,0.001167643,,,,,,,,,,,,,
2_600_-4,2,600,-4,2.5,-0.00124078,0.015769166,0.180287336,-0.000619399,-0.012615316,0.000877228,,,,,,,,,,,,,
2_600_-4,2,600,-4,2.25,-9.55E-05,0.012231718,0.149185424,-0.00047819,-0.010448321,0.000615004,,,,,,,,,,,,,
2_600_-4,2,600,-4,2,0.000489324,0.008802875,0.122207766,-0.000353855,-0.0085626,0.000354095,,,,,,,,,,,,,
2_240_-3,2,240,-3,3.5,-0.014658145,0.014789963,0.202479584,-0.001962677,-0.009833018,0.000614175,,,,,,,,,,,,,
2_240_-3,2,240,-3,3.25,-0.013418515,0.014647385,0.186147272,-0.001755175,-0.009212668,0.000601174,,,,,,,,,,,,,
2_240_-3,2,240,-3,3,-0.012323179,0.014651625,0.172672654,-0.001556772,-0.008775798,0.00063222,,,,,,,,,,,,,
2_240_-3,2,240,-3,2.75,-0.01066468,0.013996714,0.158539245,-0.001347788,-0.008483048,0.000710758,,,,,,,,,,,,,
2_240_-3,2,240,-3,2.5,-0.008496705,0.012454693,0.137977629,-0.001124129,-0.007836412,0.000685633,,,,,,,,,,,,,
2_240_-3,2,240,-3,2.25,-0.005929763,0.010393066,0.115318184,-0.000882999,-0.006914446,0.000617098,,,,,,,,,,,,,
2_240_-3,2,240,-3,2,-0.003988317,0.009308435,0.097735993,-0.000666589,-0.006122668,0.000553533,,,,,,,,,,,,,
2_300_-3,2,300,-3,3.5,-0.017232132,0.022150149,0.253615306,-0.002181415,-0.013426955,0.001109464,,,,,,,,,,,,,
2_300_-3,2,300,-3,3.25,-0.014738218,0.02066984,0.229911305,-0.001907082,-0.012764489,0.001106026,,,,,,,,,,,,,
2_300_-3,2,300,-3,3,-0.011692006,0.018191327,0.201751364,-0.001612355,-0.01173271,0.001037763,,,,,,,,,,,,,
2_300_-3,2,300,-3,2.75,-0.008447825,0.015907417,0.174664441,-0.001314673,-0.010594738,0.000947373,,,,,,,,,,,,,
2_300_-3,2,300,-3,2.5,-0.006210204,0.014630322,0.153263729,-0.001048768,-0.009610326,0.000869277,,,,,,,,,,,,,
2_300_-3,2,300,-3,2.25,-0.004584567,0.013056271,0.132292545,-0.000802989,-0.008486461,0.000761857,,,,,,,,,,,,,
2_300_-3,2,300,-3,2,-0.003258134,0.010751207,0.110889796,-0.000593271,-0.007253164,0.000626725,,,,,,,,,,,,,
2_330_-3,2,330,-3,3.5,-0.016853083,0.02426475,0.269409302,-0.002216674,-0.015158321,0.001326237,,,,,,,,,,,,,
2_330_-3,2,330,-3,3.25,-0.013419455,0.02144754,0.237919798,-0.001886414,-0.013949562,0.001238339,,,,,,,,,,,,,
2_330_-3,2,330,-3,3,-0.009889369,0.019133952,0.209039098,-0.001563053,-0.012730174,0.001140115,,,,,,,,,,,,,
2_330_-3,2,330,-3,2.75,-0.007497912,0.017750453,0.18567293,-0.00127229,-0.011646469,0.001054495,,,,,,,,,,,,,
2_330_-3,2,330,-3,2.5,-0.005689209,0.016061366,0.162574299,-0.000998373,-0.010413306,0.000937946,,,,,,,,,,,,,
2_330_-3,2,330,-3,2.25,-0.004196356,0.013589754,0.139191585,-0.000765648,-0.009074205,0.000793041,,,,,,,,,,,,,
2_330_-3,2,330,-3,2,-0.002942394,0.010863641,0.115500454,-0.000557437,-0.007663894,0.000635507,,,,,,,,,,,,,
2_360_-3,2,360,-3,3.5,-0.015230766,0.024982095,0.277016234,-0.002181094,-0.016350097,0.001456192,,,,,,,,,,,,,
2_360_-3,2,360,-3,3.25,-0.011460006,0.022668226,0.246524918,-0.001833472,-0.015059748,0.001351597,,,,,,,,,,,,,
2_360_-3,2,360,-3,3,-0.008904362,0.021178333,0.221164763,-0.001517156,-0.01387664,0.001258181,,,,,,,,,,,,,
2_360_-3,2,360,-3,2.75,-0.00691054,0.019374298,0.195946287,-0.00121495,-0.012534644,0.001132522,,,,,,,,,,,,,
2_360_-3,2,360,-3,2.5,-0.005250013,0.016753362,0.170600469,-0.000959856,-0.011091233,0.000978189,,,,,,,,,,,,,
2_360_-3,2,360,-3,2.25,-0.003825712,0.013801758,0.144406183,-0.000723677,-0.0095436,0.000803778,,,,,,,,,,,,,
2_360_-3,2,360,-3,2,-0.002613466,0.010857367,0.119968236,-0.00053208,-0.008065026,0.000639764,,,,,,,,,,,,,
2_390_-3,2,390,-3,3.5,-0.013150174,0.026515026,0.287111252,-0.002125377,-0.017583761,0.001582043,,,,,,,,,,,,,
2_390_-3,2,390,-3,3.25,-0.010427724,0.024915468,0.259735386,-0.001783215,-0.016300644,0.001480537,,,,,,,,,,,,,
2_390_-3,2,390,-3,3,-0.00824886,0.022995398,0.232400457,-0.001452752,-0.014850003,0.001345716,,,,,,,,,,,,,
2_390_-3,2,390,-3,2.75,-0.006417777,0.02024292,0.205062459,-0.001174845,-0.013301198,0.00118178,,,,,,,,,,,,,
2_390_-3,2,390,-3,2.5,-0.004807612,0.017056685,0.176565446,-0.000911051,-0.01162661,0.000993216,,,,,,,,,,,,,
2_390_-3,2,390,-3,2.25,-0.003415925,0.014116071,0.150215748,-0.000679626,-0.010041315,0.00082337,,,,,,,,,,,,,
2_390_-3,2,390,-3,2,-0.002115949,0.009652542,0.116332159,-0.000447829,-0.008068276,0.000601172,,,,,,,,,,,,,
2_405_-3,2,405,-3,3.5,-0.012565053,0.02770451,0.294240707,-0.002105605,-0.018262376,0.001652866,,,,,,,,,,,,,
2_405_-3,2,405,-3,3.25,-0.010043499,0.02600095,0.26599833,-0.00174371,-0.016851548,0.001534745,,,,,,,,,,,,,
2_405_-3,2,405,-3,3,-0.00796888,0.023623154,0.237616076,-0.001432337,-0.015290424,0.001376954,,,,,,,,,,,,,
2_405_-3,2,405,-3,2.75,-0.006159581,0.020467356,0.20867459,-0.001148134,-0.013620046,0.001194264,,,,,,,,,,,,,
2_405_-3,2,405,-3,2.5,-0.004616843,0.017120003,0.179302505,-0.000889774,-0.011875,0.000997392,,,,,,,,,,,,,
2_405_-3,2,405,-3,2.25,-0.003267597,0.013788192,0.151975685,-0.000677146,-0.010216595,0.000813447,,,,,,,,,,,,,
2_405_-3,2,405,-3,2,-0.00194644,0.009590306,0.11691038,-0.000430439,-0.008167089,0.000582398,,,,,,,,,,,,,
2_420_-3,2,420,-3,3.5,-0.012067007,0.028963653,0.301384602,-0.002070334,-0.0189182,0.001721754,,,,,,,,,,,,,
2_420_-3,2,420,-3,3.25,-0.009703803,0.026925838,0.271933206,-0.001711702,-0.017359096,0.001577681,,,,,,,,,,,,,
2_420_-3,2,420,-3,3,-0.007698076,0.024056522,0.242536193,-0.00141018,-0.015702463,0.001403497,,,,,,,,,,,,,
2_420_-3,2,420,-3,2.75,-0.005906262,0.020637032,0.211889506,-0.001120793,-0.013909661,0.001202444,,,,,,,,,,,,,
2_420_-3,2,420,-3,2.5,-0.00438676,0.017148999,0.182363277,-0.000866098,-0.012133268,0.001007559,,,,,,,,,,,,,
2_420_-3,2,420,-3,2.25,-0.002937006,0.012375375,0.148071457,-0.000608815,-0.010116169,0.000797662,,,,,,,,,,,,,
2_420_-3,2,420,-3,2,-0.001803613,0.009510775,0.117760834,-0.000416165,-0.008268952,0.000563192,,,,,,,,,,,,,
2_435_-3,2,435,-3,3.5,-0.011651596,0.030142338,0.30812394,-0.002027657,-0.019512613,0.001780859,,,,,,,,,,,,,
2_435_-3,2,435,-3,3.25,-0.009391273,0.027653675,0.277607703,-0.001689009,-0.017839794,0.001612967,,,,,,,,,,,,,
2_435_-3,2,435,-3,3,-0.007416232,0.024333309,0.246764883,-0.00138302,-0.016067992,0.001420949,,,,,,,,,,,,,
2_435_-3,2,435,-3,2.75,-0.005680284,0.020753267,0.2149773,-0.001095383,-0.014188097,0.001208606,,,,,,,,,,,,,
2_435_-3,2,435,-3,2.5,-0.004231578,0.017282781,0.185282301,-0.000852435,-0.012397228,0.001010418,,,,,,,,,,,,,
2_435_-3,2,435,-3,2.25,-0.002667419,0.012288994,0.147251115,-0.000575858,-0.010190413,0.000770923,,,,,,,,,,,,,
2_435_-3,2,435,-3,2,-0.001682398,0.009423964,0.118690907,-0.000403027,-0.008368052,0.000543872,,,,,,,,,,,,,
2_450_-3,2,450,-3,3.5,-0.011276072,0.031167318,0.314541775,-0.001991743,-0.020061927,0.001828609,,,,,,,,,,,,,
2_450_-3,2,450,-3,3.25,-0.009091659,0.02818606,0.283031219,-0.001666019,-0.018294927,0.001643594,,,,,,,,,,,,,
2_450_-3,2,450,-3,3,-0.007125127,0.024550896,0.250381378,-0.001352658,-0.016393048,0.001431673,,,,,,,,,,,,,
2_450_-3,2,450,-3,2.75,-0.005468543,0.020800735,0.21792608,-0.001072496,-0.014457137,0.001212882,,,,,,,,,,,,,
2_450_-3,2,450,-3,2.5,-0.00398629,0.017065268,0.18771862,-0.000838934,-0.012617853,0.001008319,,,,,,,,,,,,,
2_450_-3,2,450,-3,2.25,-0.002462171,0.01222644,0.147716378,-0.000554067,-0.010297114,0.00074956,,,,,,,,,,,,,
2_450_-3,2,450,-3,2,-0.001560486,0.009352111,0.119622038,-0.000391524,-0.008460391,0.000526682,,,,,,,,,,,,,
2_465_-3,2,465,-3,3.5,-0.010930156,0.031996792,0.320670476,-0.001966279,-0.020582623,0.001868109,,,,,,,,,,,,,
2_465_-3,2,465,-3,3.25,-0.008787019,0.028529534,0.287907006,-0.001638682,-0.018708631,0.001666649,,,,,,,,,,,,,
2_465_-3,2,465,-3,3,-0.006859013,0.024710057,0.253788996,-0.001323382,-0.016700495,0.001439461,,,,,,,,,,,,,
2_465_-3,2,465,-3,2.75,-0.005199512,0.020849541,0.221340962,-0.001044948,-0.014742616,0.001225365,,,,,,,,,,,,,
2_465_-3,2,465,-3,2.5,-0.00361184,0.015392266,0.183384218,-0.000759977,-0.012500433,0.000994206,,,,,,,,,,,,,
2_465_-3,2,465,-3,2.25,-0.00228632,0.01214259,0.148570324,-0.000536703,-0.01040947,0.000728013,,,,,,,,,,,,,
2_465_-3,2,465,-3,2,-0.001435983,0.009282176,0.120569881,-0.000381254,-0.008548445,0.000509696,,,,,,,,,,,,,
2_480_-3,2,480,-3,3.5,-0.010599719,0.032627356,0.32656809,-0.001942354,-0.021078995,0.001902486,,,,,,,,,,,,,
2_480_-3,2,480,-3,3.25,-0.008465141,0.028795873,0.292017762,-0.001606167,-0.019074749,0.001680813,,,,,,,,,,,,,
2_480_-3,2,480,-3,3,-0.006621148,0.024812093,0.257069442,-0.001296696,-0.016998227,0.001445351,,,,,,,,,,,,,
2_480_-3,2,480,-3,2.75,-0.005071729,0.020820569,0.224410466,-0.001043352,-0.015020997,0.00122349,,,,,,,,,,,,,
2_480_-3,2,480,-3,2.5,-0.003278592,0.015245327,0.181857259,-0.000720437,-0.012559602,0.000962511,,,,,,,,,,,,,
2_480_-3,2,480,-3,2.25,-0.002136387,0.012049379,0.149569932,-0.000521084,-0.010521704,0.000706316,,,,,,,,,,,,,
2_480_-3,2,480,-3,2,-0.001297388,0.009227971,0.121536402,-0.000373165,-0.008634487,0.000494113,,,,,,,,,,,,,
2_495_-3,2,495,-3,3.5,-0.010270689,0.033056206,0.332062233,-0.001914553,-0.021540394,0.001931002,,,,,,,,,,,,,
2_495_-3,2,495,-3,3.25,-0.00815613,0.028998901,0.29576274,-0.001573423,-0.01941286,0.001690573,,,,,,,,,,,,,
2_495_-3,2,495,-3,3,-0.006371591,0.024853949,0.260324046,-0.001270734,-0.017291208,0.00145159,,,,,,,,,,,,,
2_495_-3,2,495,-3,2.75,-0.004769755,0.020677901,0.227147394,-0.001017223,-0.015266163,0.001224395,,,,,,,,,,,,,
2_495_-3,2,495,-3,2.5,-0.003034876,0.015183151,0.182150458,-0.000693433,-0.012672709,0.000938168,,,,,,,,,,,,,
2_495_-3,2,495,-3,2.25,-0.001996133,0.01196095,0.150600333,-0.00050685,-0.010628785,0.00068581,,,,,,,,,,,,,
2_495_-3,2,495,-3,2,-0.001118376,0.009193774,0.122473343,-0.000368358,-0.008714675,0.00048072,,,,,,,,,,,,,
2_510_-3,2,510,-3,3.5,-0.009924102,0.033369319,0.336756953,-0.001881,-0.021951813,0.00194958,,,,,,,,,,,,,
2_510_-3,2,510,-3,3.25,-0.007877089,0.0291494,0.299382492,-0.001542239,-0.019739556,0.001698604,,,,,,,,,,,,,
2_510_-3,2,510,-3,3,-0.00607725,0.0249558,0.264053558,-0.001240105,-0.017605593,0.001464975,,,,,,,,,,,,,
2_510_-3,2,510,-3,2.75,-0.004350597,0.01878012,0.222576666,-0.000928276,-0.015142098,0.001212804,,,,,,,,,,,,,
2_510_-3,2,510,-3,2.5,-0.002824943,0.015096314,0.182971194,-0.000672561,-0.012794629,0.000914204,,,,,,,,,,,,,
2_510_-3,2,510,-3,2.25,-0.001849853,0.01188011,0.151625602,-0.000494125,-0.010728425,0.000666612,,,,,,,,,,,,,
2_510_-3,2,510,-3,2,-0.000883862,0.009183383,0.123361003,-0.000366434,-0.008786339,0.000470542,,,,,,,,,,,,,
2_540_-3,2,540,-3,3.5,-0.009251963,0.033815064,0.344818785,-0.001810142,-0.022679346,0.001971607,,,,,,,,,,,,,
2_540_-3,2,540,-3,3.25,-0.007326024,0.029284948,0.306502467,-0.001484051,-0.020377508,0.001713495,,,,,,,,,,,,,
2_540_-3,2,540,-3,3,-0.005616848,0.024628269,0.270249247,-0.001212064,-0.018161357,0.001461742,,,,,,,,,,,,,
2_540_-3,2,540,-3,2.75,-0.003665771,0.018462775,0.220226688,-0.000848397,-0.015293843,0.001148586,,,,,,,,,,,,,
2_540_-3,2,540,-3,2.5,-0.002479347,0.014895271,0.185124223,-0.000637157,-0.013039387,0.000866346,,,,,,,,,,,,,
2_540_-3,2,540,-3,2.25,-0.001528759,0.011743178,0.15374187,-0.000474048,-0.010919478,0.000630359,,,,,,,,,,,,,
2_540_-3,2,540,-3,2,-0.000344386,0.009114096,0.125271894,-0.000363756,-0.00893573,0.000442538,,,,,,,,,,,,,
2_570_-3,2,570,-3,3.5,-0.008692299,0.0340145,0.352317829,-0.001749324,-0.023364113,0.001984302,,,,,,,,,,,,,
2_570_-3,2,570,-3,3.25,-0.00689047,0.02914829,0.314130509,-0.001462416,-0.021032937,0.001719792,,,,,,,,,,,,,
2_570_-3,2,570,-3,3,-0.004686716,0.022130063,0.262159267,-0.001057794,-0.018038867,0.001412153,,,,,,,,,,,,,
2_570_-3,2,570,-3,2.75,-0.003204327,0.018268642,0.222011954,-0.000801973,-0.015558047,0.001095223,,,,,,,,,,,,,
2_570_-3,2,570,-3,2.5,-0.002142773,0.01471142,0.187366934,-0.000607703,-0.013260392,0.000823103,,,,,,,,,,,,,
2_570_-3,2,570,-3,2.25,-0.001010257,0.011709884,0.155693907,-0.000467027,-0.011081857,0.00060493,,,,,,,,,,,,,
2_570_-3,2,570,-3,2,0.000197674,0.008946469,0.127385682,-0.000359897,-0.009092976,0.000403358,,,,,,,,,,,,,
2_600_-3,2,600,-3,3.5,-0.008120908,0.034177729,0.360626076,-0.001700318,-0.024089007,0.002002131,,,,,,,,,,,,,
2_600_-3,2,600,-3,3.25,-0.006006086,0.026720844,0.312595915,-0.001321201,-0.021201603,0.00171376,,,,,,,,,,,,,
2_600_-3,2,600,-3,3,-0.004071364,0.021973585,0.262564256,-0.000989596,-0.018296993,0.001351422,,,,,,,,,,,,,
2_600_-3,2,600,-3,2.75,-0.002822073,0.018050737,0.224398321,-0.000764278,-0.015819386,0.001043804,,,,,,,,,,,,,
2_600_-3,2,600,-3,2.5,-0.00175811,0.014563564,0.189683507,-0.000586204,-0.013468125,0.000783536,,,,,,,,,,,,,
2_600_-3,2,600,-3,2.25,-0.000379707,0.011620605,0.157727469,-0.00046268,-0.011239684,0.000574287,,,,,,,,,,,,,
2_600_-3,2,600,-3,2,0.000670215,0.008666595,0.129617168,-0.000351638,-0.009253517,0.000353754,,,,,,,,,,,,,
2_240_-2,2,240,-2,3.5,-0.01480707,0.011775588,0.204688627,-0.002026451,-0.009990274,0.000472175,,,,,,,,,,,,,
2_240_-2,2,240,-2,3.25,-0.013630523,0.011973756,0.18831137,-0.001813001,-0.009356812,0.000467481,,,,,,,,,,,,,
2_240_-2,2,240,-2,3,-0.01237543,0.012146428,0.174702452,-0.001611145,-0.008909344,0.000510965,,,,,,,,,,,,,
2_240_-2,2,240,-2,2.75,-0.010763924,0.011984434,0.161144919,-0.001394297,-0.008649969,0.000600564,,,,,,,,,,,,,
2_240_-2,2,240,-2,2.5,-0.008580829,0.010881686,0.141070956,-0.001172792,-0.008029808,0.000594597,,,,,,,,,,,,,
2_240_-2,2,240,-2,2.25,-0.006123204,0.009193228,0.118077729,-0.000934368,-0.00710605,0.000543486,,,,,,,,,,,,,
2_240_-2,2,240,-2,2,-0.003974315,0.008176867,0.099447439,-0.000711838,-0.006278552,0.000491162,,,,,,,,,,,,,
2_300_-2,2,300,-2,3.5,-0.017408864,0.018933078,0.257587916,-0.00225384,-0.013683009,0.000934245,,,,,,,,,,,,,
2_300_-2,2,300,-2,3.25,-0.014794891,0.017934666,0.234418359,-0.001981112,-0.013046613,0.000952464,,,,,,,,,,,,,
2_300_-2,2,300,-2,3,-0.011861249,0.016048651,0.206645233,-0.001691306,-0.012052188,0.000909656,,,,,,,,,,,,,
2_300_-2,2,300,-2,2.75,-0.008742542,0.013977052,0.178257954,-0.001394186,-0.010841995,0.000835716,,,,,,,,,,,,,
2_300_-2,2,300,-2,2.5,-0.006172253,0.012871308,0.155835951,-0.001118935,-0.009846013,0.000772159,,,,,,,,,,,,,
2_300_-2,2,300,-2,2.25,-0.004467885,0.011764998,0.135162645,-0.000863801,-0.00875795,0.000687447,,,,,,,,,,,,,
2_300_-2,2,300,-2,2,-0.00313571,0.009888433,0.114304878,-0.000653666,-0.007559599,0.000572259,,,,,,,,,,,,,
2_330_-2,2,330,-2,3.5,-0.016940245,0.021186884,0.275082421,-0.002307121,-0.015514047,0.001149067,,,,,,,,,,,,,
2_330_-2,2,330,-2,3.25,-0.013634862,0.018985058,0.243772102,-0.00198264,-0.014338333,0.00109025,,,,,,,,,,,,,
2_330_-2,2,330,-2,3,-0.010215847,0.016787488,0.213062593,-0.001658144,-0.013009547,0.001006572,,,,,,,,,,,,,
2_330_-2,2,330,-2,2.75,-0.007441885,0.015624181,0.188735023,-0.001356934,-0.011927622,0.000936986,,,,,,,,,,,,,
2_330_-2,2,330,-2,2.5,-0.005539271,0.01443722,0.165993283,-0.001073545,-0.010736424,0.000845983,,,,,,,,,,,,,
2_330_-2,2,330,-2,2.25,-0.004033016,0.012505578,0.143186683,-0.000838249,-0.009439852,0.000723863,,,,,,,,,,,,,
2_330_-2,2,330,-2,2,-0.00281741,0.00994595,0.119352898,-0.00062649,-0.008008018,0.000576142,,,,,,,,,,,,,
2_360_-2,2,360,-2,3.5,-0.015503307,0.022170375,0.283877181,-0.002295925,-0.016811775,0.001287083,,,,,,,,,,,,,
